period,region,manufacturing_labor_share,real_wage_manufacturing,price_index
0,Dhaka,0.14736134271741794,0.8762245977966417,1.0819574008765418
0,Chittagong,0.12552914470736817,0.8087159114334577,1.100410880500299
0,Sylhet,0.10556644885040976,0.7416289235289699,1.1232976320584211
0,Rajshahi,0.12368569568470807,0.8027559440383605,1.1027318238336277
0,Khulna,0.13631910016388768,0.8427565768853971,1.0907158582355454
0,Barisal,0.11308040445657598,0.7675690237524638,1.1119182940859997
0,Rangpur,0.10118157739498115,0.7260632890128685,1.1285550005472489
0,Mymensingh,0.14727628602465132,0.8759719807992098,1.0820254138465253
1,Dhaka,0.14736126876962324,0.8762245392006885,1.081957473230513
1,Chittagong,0.12552911188467433,0.8087158761420358,1.1004109285209522
1,Sylhet,0.10556641450939815,0.7416288657333356,1.123297719597758
1,Rajshahi,0.12368573218362909,0.8027559904146268,1.102731760127364
1,Khulna,0.13631913848078053,0.8427566129050172,1.0907158116180875
1,Barisal,0.1130804158051041,0.7675690364516736,1.1119182756896302
1,Rangpur,0.10118158637087238,0.7260633089022982,1.128554969632155
1,Mymensingh,0.1472763319959182,0.875972017264655,1.0820253688033759
2,Dhaka,0.14736125987004556,0.8762245321640987,1.0819574819192574
2,Chittagong,0.12552910747877102,0.8087158711800442,1.1004109352726805
2,Sylhet,0.10556640918365111,0.7416288572883426,1.123297732388848
2,Rajshahi,0.12368573738277015,0.802755997205525,1.1027317507988268
2,Khulna,0.13631914333422124,0.8427566176435864,1.0907158054853177
2,Barisal,0.11308041726986567,0.7675690381413083,1.1119182732419863
2,Rangpur,0.10118158799522375,0.7260633121615592,1.1285549645661297
2,Mymensingh,0.14727633748545138,0.8759720216342373,1.0820253634059445
3,Dhaka,0.14736125879667478,0.8762245313172488,1.0819574829649434
3,Chittagong,0.12552910687342175,0.8087158704705323,1.1004109362381056
3,Sylhet,0.10556640837783306,0.7416288560603564,1.1232977342488
3,Rajshahi,0.12368573812915862,0.8027559981987724,1.1027317494344204
3,Khulna,0.13631914395504213,0.8427566182711576,1.0907158046731
3,Barisal,0.11308041745777882,0.7675690383611039,1.1119182729235852
3,Rangpur,0.10118158827146961,0.7260633126835724,1.1285549637547396
3,Mymensingh,0.14727633813862126,0.8759720221559736,1.082025362761481
4,Dhaka,0.14736125866694083,0.876224531215111,1.0819574830910625
4,Chittagong,0.1255291067885929,0.8087158703677376,1.1004109363779773
4,Sylhet,0.10556640825785682,0.7416288558823916,1.123297734518352
4,Rajshahi,0.12368573823689678,0.8027559983439134,1.1027317492350428
4,Khulna,0.13631914403522735,0.8427566183548069,1.090715804564839
4,Barisal,0.11308041748160617,0.7675690383889278,1.111918272883279
4,Rangpur,0.10118158831682658,0.7260633127659707,1.128554963626664
4,Mymensingh,0.14727633821605265,0.8759720222180467,1.0820253626848066
5,Dhaka,0.14736125865122768,0.876224531202766,1.0819574831063061
5,Chittagong,0.12552910677651286,0.808715870352695,1.1004109363984456
5,Sylhet,0.10556640824018651,0.7416288558566584,1.1232977345573283
5,Rajshahi,0.12368573825250748,0.8027559983651082,1.1027317492059279
5,Khulna,0.13631914404568224,0.8427566183660239,1.0907158045503218
5,Barisal,0.11308041748457186,0.7675690383923264,1.1119182728783557
5,Rangpur,0.10118158832411463,0.726063312778852,1.1285549636066419
5,Mymensingh,0.14727633822519678,0.8759720222254046,1.082025362675718
6,Dhaka,0.14736125864932065,0.8762245312012708,1.0819574831081524
6,Chittagong,0.12552910677477053,0.8087158703504771,1.1004109364014634
6,Sylhet,0.10556640823760327,0.741628855852943,1.1232977345629558
6,Rajshahi,0.12368573825477534,0.8027559983682019,1.1027317492016782
6,Khulna,0.13631914404705775,0.8427566183675363,1.0907158045483643
6,Barisal,0.11308041748493074,0.7675690383927208,1.1119182728777843
6,Rangpur,0.1011815883252694,0.7260633127808526,1.1285549636035324
6,Mymensingh,0.1472763382262723,0.8759720222262734,1.0820253626746448
7,Dhaka,0.14736125864908878,0.8762245312010893,1.0819574831083765
7,Chittagong,0.12552910677451684,0.8087158703501485,1.1004109364019106
7,Sylhet,0.10556640823722754,0.741628855852407,1.1232977345637676
7,Rajshahi,0.12368573825510543,0.8027559983686533,1.102731749201058
7,Khulna,0.13631914404724024,0.8427566183677412,1.0907158045480991
7,Barisal,0.11308041748497231,0.7675690383927629,1.1119182728777233
7,Rangpur,0.10118158832545067,0.7260633127811619,1.1285549636030516
7,Mymensingh,0.14727633822639824,0.8759720222263755,1.0820253626745187
8,Dhaka,0.14736125864906047,0.8762245312010671,1.0819574831084038
8,Chittagong,0.1255291067744796,0.8087158703500995,1.1004109364019772
8,Sylhet,0.10556640823717306,0.7416288558523297,1.1232977345638846
8,Rajshahi,0.12368573825515357,0.8027559983687192,1.1027317492009674
8,Khulna,0.1363191440472647,0.8427566183677692,1.090715804548063
8,Barisal,0.11308041748497683,0.7675690383927668,1.1119182728777177
8,Rangpur,0.10118158832547891,0.7260633127812094,1.1285549636029777
8,Mymensingh,0.14727633822641295,0.8759720222263875,1.0820253626745038
9,Dhaka,0.14736125864905705,0.8762245312010645,1.0819574831084071
9,Chittagong,0.12552910677447407,0.8087158703500922,1.1004109364019872
9,Sylhet,0.1055664082371652,0.7416288558523186,1.1232977345639015
9,Rajshahi,0.12368573825516056,0.8027559983687288,1.1027317492009543
9,Khulna,0.13631914404726794,0.8427566183677729,1.090715804548058
9,Barisal,0.11308041748497719,0.7675690383927669,1.1119182728777175
9,Rangpur,0.10118158832548328,0.7260633127812167,1.1285549636029664
9,Mymensingh,0.14727633822641467,0.8759720222263889,1.082025362674502
10,Dhaka,0.14736125864905658,0.8762245312010641,1.0819574831084076
10,Chittagong,0.12552910677447332,0.8087158703500912,1.1004109364019885
10,Sylhet,0.10556640823716405,0.741628855852317,1.123297734563904
10,Rajshahi,0.12368573825516162,0.8027559983687302,1.1027317492009523
10,Khulna,0.13631914404726847,0.8427566183677737,1.0907158045480572
10,Barisal,0.11308041748497723,0.7675690383927669,1.1119182728777175
10,Rangpur,0.10118158832548396,0.7260633127812178,1.1285549636029646
10,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
11,Dhaka,0.14736125864905655,0.8762245312010641,1.0819574831084076
11,Chittagong,0.12552910677447315,0.8087158703500908,1.100410936401989
11,Sylhet,0.10556640823716391,0.7416288558523167,1.1232977345639044
11,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
11,Khulna,0.13631914404726853,0.8427566183677737,1.0907158045480572
11,Barisal,0.11308041748497723,0.7675690383927669,1.1119182728777175
11,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
11,Mymensingh,0.14727633822641492,0.8759720222263891,1.0820253626745018
12,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
12,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
12,Sylhet,0.10556640823716389,0.7416288558523167,1.1232977345639044
12,Rajshahi,0.1236857382551618,0.8027559983687306,1.1027317492009518
12,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
12,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
12,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
12,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
13,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
13,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
13,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
13,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
13,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
13,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
13,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
13,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
14,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
14,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
14,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
14,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
14,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
14,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
14,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
14,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
15,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
15,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
15,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
15,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
15,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
15,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
15,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
15,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
16,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
16,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
16,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
16,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
16,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
16,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
16,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
16,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
17,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
17,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
17,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
17,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
17,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
17,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
17,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
17,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
18,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
18,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
18,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
18,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
18,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
18,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
18,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
18,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
19,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
19,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
19,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
19,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
19,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
19,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
19,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
19,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
20,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
20,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
20,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
20,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
20,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
20,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
20,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
20,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
21,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
21,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
21,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
21,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
21,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
21,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
21,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
21,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
22,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
22,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
22,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
22,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
22,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
22,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
22,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
22,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
23,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
23,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
23,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
23,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
23,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
23,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
23,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
23,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
24,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
24,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
24,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
24,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
24,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
24,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
24,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
24,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
25,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
25,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
25,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
25,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
25,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
25,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
25,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
25,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
26,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
26,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
26,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
26,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
26,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
26,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
26,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
26,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
27,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
27,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
27,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
27,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
27,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
27,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
27,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
27,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
28,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
28,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
28,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
28,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
28,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
28,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
28,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
28,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
29,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
29,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
29,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
29,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
29,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
29,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
29,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
29,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
30,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
30,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
30,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
30,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
30,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
30,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
30,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
30,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
31,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
31,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
31,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
31,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
31,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
31,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
31,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
31,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
32,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
32,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
32,Sylhet,0.10556640823716387,0.7416288558523167,1.1232977345639044
32,Rajshahi,0.12368573825516176,0.8027559983687305,1.102731749200952
32,Khulna,0.1363191440472685,0.8427566183677737,1.0907158045480572
32,Barisal,0.11308041748497721,0.7675690383927669,1.1119182728777175
32,Rangpur,0.1011815883254841,0.7260633127812182,1.1285549636029641
32,Mymensingh,0.1472763382264149,0.8759720222263891,1.0820253626745018
33,Dhaka,0.14736125864905653,0.8762245312010641,1.0819574831084076
33,Chittagong,0.1255291067744731,0.8087158703500908,1.100410936401989
